"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleLab.js", "JavaScript", 62, 0, 0, 0, 0, 0, 5, 67
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleSources.js", "JavaScript", 68, 0, 0, 0, 0, 0, 3, 71
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleSrtructuredHours.js", "JavaScript", 174, 0, 0, 0, 0, 2, 6, 182
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleStructuredHours.module.css", "CSS", 0, 0, 0, 110, 0, 0, 3, 113
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleTheory.js", "JavaScript", 65, 0, 0, 0, 0, 0, 4, 69
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleUnstructHours.js", "JavaScript", 166, 0, 0, 0, 0, 2, 5, 173
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\StudentsModuleRegisteration.js", "JavaScript", 332, 0, 0, 0, 0, 1, 18, 351
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\ViewDepartmentProfile.js", "JavaScript", 320, 0, 0, 0, 0, 2, 7, 329
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\AddScheduling.js", "JavaScript", 364, 0, 0, 0, 0, 4, 13, 381
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\Schedule.js", "JavaScript", 396, 0, 0, 0, 0, 3, 11, 410
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\ScheduleTable.js", "JavaScript", 170, 0, 0, 0, 0, 1, 6, 177
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\AddAssesments.js", "JavaScript", 254, 0, 0, 0, 0, 0, 6, 260
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\AssesmentGradesTable.js", "JavaScript", 293, 0, 0, 0, 0, 0, 35, 328
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Assesments.js", "JavaScript", 173, 0, 0, 0, 0, 0, 5, 178
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Home\ProfessorHome.js", "JavaScript", 109, 0, 0, 0, 0, 1, 3, 113
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Home\ProfessorInfoCard.js", "JavaScript", 91, 0, 0, 0, 0, 4, 2, 97
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Modules\ModuleStudents.js", "JavaScript", 127, 0, 0, 0, 0, 0, 10, 137
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Modules\ProfessorModules.js", "JavaScript", 146, 0, 0, 0, 0, 2, 2, 150
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Modules\StudentGrades.js", "JavaScript", 223, 0, 0, 0, 0, 0, 8, 231
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\ProfessorProfile.js", "JavaScript", 113, 0, 0, 0, 0, 0, 5, 118
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\StudentsAttendance.js", "JavaScript", 548, 0, 0, 0, 0, 1, 34, 583
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\EditProfile.js", "JavaScript", 225, 0, 0, 0, 0, 1, 4, 230
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\EditProfile.module.css", "CSS", 0, 0, 0, 73, 0, 0, 3, 76
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\Home.js", "JavaScript", 200, 0, 0, 0, 0, 2, 9, 211
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\InfoCards.js", "JavaScript", 65, 0, 0, 0, 0, 0, 1, 66
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\Posts.js", "JavaScript", 53, 0, 0, 0, 0, 0, 1, 54
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\StudentCalendar.js", "JavaScript", 147, 0, 0, 0, 0, 0, 6, 153
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\TodaySchedule.js", "JavaScript", 121, 0, 0, 0, 0, 0, 3, 124
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\UpcomingClasses.js", "JavaScript", 67, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\ModulesRegisteration.js", "JavaScript", 340, 0, 0, 0, 0, 2, 12, 354
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ModuleAttendance.js", "JavaScript", 175, 0, 0, 0, 0, 2, 9, 186
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\StudentModules.js", "JavaScript", 145, 0, 0, 0, 0, 2, 2, 149
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ViewGrade.js", "JavaScript", 198, 0, 0, 0, 0, 1, 5, 204
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ViewModule.js", "JavaScript", 392, 0, 0, 0, 0, 0, 7, 399
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\PresenceTable.js", "JavaScript", 70, 0, 0, 0, 0, 0, 3, 73
